 Slingo's (1989; J. Atmos. Sci.) parameterization for cloud radiative
 effects.  Given are: wavelength range (um), a, b, e, f, c, d.
 Format(2f5.2,3x,2f6.3,2f6.3,2f11.8)
 0.25 0.30    3.094 1.252 0.844 1.558  0.00000079 0.00000037
 0.30 0.33    2.944 1.270 0.841 1.680 -0.00000065 0.00000043 
 0.33 0.36    3.308 1.246 0.839 1.946 -0.00000030 0.00000024
 0.36 0.40    2.801 1.293 0.836 2.153  0.00000100 0.00000000
 0.40 0.44    2.668 1.307 0.840 1.881  0.00000000 0.00000000 
 0.44 0.48    2.698 1.315 0.820 3.004  0.00000100 0.00000000 
 0.48 0.52    2.672 1.320 0.828 2.467  0.00000000 0.00000000 
 0.52 0.57    2.838 1.300 0.825 2.776  0.00000000 0.00000000 
 0.57 0.64    2.831 1.317 0.828 2.492 -0.00000120 0.00000040
 0.64 0.69    2.895 1.315 0.818 2.989 -0.00000012 0.00000044 
 0.69 0.75    3.115 1.244 0.804 3.520 -0.00000027 0.00000140
 0.75 0.78    2.650 1.349 0.809 3.387  0.00000230 0.00000170
 0.78 0.87    2.622 1.362 0.806 3.355  0.00000330 0.00000280 
 0.87 1.00    2.497 1.376 0.783 5.035  0.00000980 0.00002100 
 1.00 1.10    2.632 1.365 0.784 4.745 -0.00004600 0.00005000
 1.10 1.19    2.589 1.385 0.780 4.989 -0.00002800 0.00008000
 1.19 1.28    2.551 1.401 0.773 5.405  0.00006200 0.00026000
 1.28 1.53    2.463 1.420 0.754 6.555  0.00024000 0.00085600
 1.53 1.64    2.237 1.452 0.749 6.931  0.00012000 0.00066700
 1.64 2.13    1.970 1.501 0.740 7.469  0.00120000 0.00216000
 2.13 2.38    1.850 1.556 0.769 5.171  0.00019000 0.00254000
 2.38 2.91    1.579 1.611 0.851 2.814  0.12300000 0.00935000
 2.91 3.42    1.950 1.540 0.831 6.102  0.44900000 0.00154000
 3.42 4.00   -1.023 1.933 0.726 6.652  0.02500000 0.01220000
