Folder_Name,fCHL,fCDOM,fBBP,TS_corr,aw_spec,a_NAP_model,S_NAP,a_NAP_443,a_NAP_CORR,a_CDOM_model,S_CDOM,CDOM_TS_corr,aw_380_spec,depth_type,Kw_type,a_CDOM_CORR,a_PFT_use,bp_bbp_model,bb_ratio,bbp_slope,Q_depth,Comment
BBP_01,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_CHL,0.015,0,SURF,"Case 1 CHL - min bp, max bbp, bb_ratio_0.015"
BBP_02,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_CHL,0.002,0,SURF,"Case 1 CHL - max bp, min bbp, bb_ratio_0.002"
BBP_03,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_BBP,0.015,0,SURF,"Case 1 BBP - min bp, max bbp, bb_ratio_0.015"
BBP_04,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_BBP,0.002,0,SURF,"Case 1 BBP - max bp, min bbp, bb_ratio_0.002"
BBP_05,1.33,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_CHL,0.015,0,SURF,"Case 1 CHL - min bp, max bbp, bb_ratio_0.015, fCHL=1.33"
BBP_06,1.33,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_CHL,0.002,0,SURF,"Case 1 CHL - max bp, min bbp, bb_ratio_0.002, fCHL=1.33"
BBP_07,1.33,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_BBP,0.015,0,SURF,"Case 1 BBP - min bp, max bbp, bb_ratio_0.015, fCHL=1.33"
BBP_08,1.33,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_BBP,0.002,0,SURF,"Case 1 BBP - max bp, min bbp, bb_ratio_0.002, fCHL=1.33"
BBP_09,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.015,0,SURF,"From bbp700 - bb_ratio_0.015, slope_0"
BBP_10,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.015,1,SURF,"From bbp700 - bb_ratio_0.015, slope_1"
BBP_11,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.015,2,SURF,"From bbp700 - bb_ratio_0.015, slope_2"
BBP_12,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.015,3,SURF,"From bbp700 - bb_ratio_0.015, slope_3"
BBP_13,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.015,4,SURF,"From bbp700 - bb_ratio_0.015, slope_4"
BBP_14,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.002,0,SURF,"From bbp700 - bb_ratio_0.002, slope_0"
BBP_15,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.002,1,SURF,"From bbp700 - bb_ratio_0.002, slope_1"
BBP_16,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.002,2,SURF,"From bbp700 - bb_ratio_0.002, slope_2"
BBP_17,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.002,3,SURF,"From bbp700 - bb_ratio_0.002, slope_3"
BBP_18,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.002,4,SURF,"From bbp700 - bb_ratio_0.002, slope_4"
BBP_19,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.015,2,10m,"From bbp700 - bratio_min, slope from Boss, Q from CHL[0-10m]"
BBP_20,1.33,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,from_BBP700,0.015,2,10m,"From bbp700 - bratio_min, slope from Boss, Q from CHL[0-10m], fCHL=1.33"
