Folder_Name,fCHL,fCDOM,fBBP,TS_corr,aw_spec,a_NAP_model,S_NAP,a_NAP_443,a_NAP_CORR,a_CDOM_model,S_CDOM,CDOM_TS_corr,aw_380_spec,depth_type,Kw_type,a_CDOM_CORR,a_PFT_use,bp_bbp_model,bb_ratio,bbp_slope,Q_depth,Comment
TEST_01,1,1,1,FALSE,LIT,None,0,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"No TS corr, LIT"
TEST_02,1,1,1,FALSE,MASON,None,0,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"No TS corr, MASON"
TEST_03,1,1,1,TRUE,LIT,None,0,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"With TS corr, LIT"
TEST_04,1,1,1,TRUE,MASON,None,0,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"With TS corr, MASON"
TEST_05,1,1,1,TRUE,MASON,Case1_CHL,0.0178,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 CHL - Bricaud, a_NAP_min"
TEST_06,1,1,1,TRUE,MASON,Case1_CHL,0.0104,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 CHL - Bricaud, a_NAP_max"
TEST_07,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1  CHL - Bricaud, a_NAP_mean"
TEST_08,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1  CHL - Bricaud, a_NAP_mean_CORR"
TEST_09,1,1,1,TRUE,MASON,Case1_BBP,0.0178,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 BBP - Bricaud, a_NAP_min"
TEST_10,1,1,1,TRUE,MASON,Case1_BBP,0.0104,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 BBP - Bricaud, a_NAP_max"
TEST_11,1,1,1,TRUE,MASON,Case1_BBP,0.0129,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1  BBP - Bricaud, a_NAP_mean"
TEST_12,1,1,1,TRUE,MASON,Case1_BBP,0.0129,0,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1  BBP - Bricaud, a_NAP_mean_CORR"
TEST_13,1,1,1,TRUE,MASON,Babin_CHL,0.0178,0.0087,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_CHL, a_NAP_min"
TEST_14,1,1,1,TRUE,MASON,Babin_CHL,0.0104,0.08,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_CHL, a_NAP_max"
TEST_15,1,1,1,TRUE,MASON,Babin_CHL,0.0129,0.04,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_CHL, a_NAP_mean"
TEST_16,1,1,1,TRUE,MASON,Babin_CHL,0.0129,0.0087,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_CHL, a_NAP_min_CORR"
