wl phi_t sgm_phi_t phi_s_c sgm_phi_s_c phi_s_a sgm_phi_s_a
400 0.0001 0.0002 -0.00001 0.00004 0.00003 0.00003
402 0.0001 0.0001 -0.00002 0.00004 0.00003 0.00003
404 0.0001 0.0001 -0.00002 0.00004 0.00003 0.00003
406 0.0001 0.0001 -0.00002 0.00004 0.00004 0.00003
408 0.0000 0.0001 -0.00002 0.00004 0.00004 0.00003
410 0.0000 0.0001 -0.00002 0.00004 0.00004 0.00003
412 0.0000 0.0001 -0.00002 0.00004 0.00004 0.00003
414 0.0001 0.0001 -0.00002 0.00003 0.00004 0.00003
416 0.0000 0.0001 -0.00002 0.00003 0.00004 0.00003
418 0.0000 0.0001 -0.00003 0.00003 0.00004 0.00003
420 0.0000 0.0001 -0.00003 0.00003 0.00004 0.00003
422 0.0000 0.0001 -0.00003 0.00003 0.00003 0.00003
424 0.0000 0.0001 -0.00003 0.00003 0.00003 0.00003
426 0.0000 0.0001 -0.00003 0.00003 0.00003 0.00003
428 0.0000 0.0001 -0.00003 0.00003 0.00003 0.00003
430 0.0000 0.0001 -0.00003 0.00003 0.00003 0.00003
432 0.0000 0.0001 -0.00003 0.00003 0.00003 0.00003
434 0.0000 0.0001 -0.00003 0.00003 0.00003 0.00003
436 0.0000 0.0000 -0.00003 0.00003 0.00003 0.00003
438 0.0000 0.0000 -0.00004 0.00003 0.00003 0.00003
440 0.0000 0.0000 -0.00004 0.00003 0.00002 0.00002
442 0.0000 0.0000 -0.00004 0.00003 0.00002 0.00002
444 0.0000 0.0001 -0.00004 0.00003 0.00002 0.00002
446 0.0000 0.0001 -0.00004 0.00003 0.00002 0.00002
448 0.0000 0.0001 -0.00004 0.00003 0.00002 0.00002
450 0.0000 0.0000 -0.00004 0.00003 0.00002 0.00002
452 0.0000 0.0000 -0.00004 0.00003 0.00002 0.00002
454 0.0000 0.0000 -0.00004 0.00003 0.00002 0.00002
456 0.0000 0.0000 -0.00004 0.00003 0.00002 0.00002
458 0.0000 0.0000 -0.00004 0.00003 0.00002 0.00002
460 0.0000 0.0000 -0.00004 0.00003 0.00002 0.00002
462 0.0000 0.0000 -0.00004 0.00003 0.00002 0.00002
464 0.0000 0.0000 -0.00004 0.00002 0.00002 0.00002
466 0.0000 0.0000 -0.00004 0.00002 0.00002 0.00002
468 0.0000 0.0000 -0.00004 0.00002 0.00002 0.00002
470 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
472 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
474 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
476 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
478 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
480 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
482 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
484 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
486 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
488 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
490 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
492 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
494 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
496 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
498 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
500 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
502 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
504 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00002
506 0.0000 0.0001 -0.00004 0.00002 0.00001 0.00002
508 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
510 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
512 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
514 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
516 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
518 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
520 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
522 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
524 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
526 0.0001 0.0001 -0.00004 0.00002 0.00001 0.00001
528 0.0000 0.0001 -0.00004 0.00002 0.00001 0.00001
530 0.0000 0.0001 -0.00004 0.00002 0.00001 0.00001
532 0.0000 0.0001 -0.00004 0.00002 0.00001 0.00001
534 0.0000 0.0001 -0.00004 0.00002 0.00001 0.00001
536 0.0000 0.0001 -0.00004 0.00002 0.00001 0.00001
538 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00001
540 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00001
542 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00001
544 0.0000 0.0001 -0.00004 0.00002 0.00001 0.00001
546 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00001
548 0.0000 0.0000 -0.00004 0.00002 0.00001 0.00001
550 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
552 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
554 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
556 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
558 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
560 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
562 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
564 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
566 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
568 0.0000 0.0000 -0.00004 0.00001 0.00000 0.00001
570 0.0000 0.0001 -0.00004 0.00001 -0.00001 0.00001
572 0.0000 0.0001 -0.00005 0.00001 -0.00001 0.00001
574 0.0001 0.0001 -0.00005 0.00001 -0.00001 0.00001
576 0.0001 0.0001 -0.00005 0.00001 -0.00001 0.00001
578 0.0001 0.0001 -0.00005 0.00001 -0.00001 0.00001
580 0.0002 0.0001 -0.00005 0.00001 -0.00001 0.00001
582 0.0003 0.0001 -0.00005 0.00001 -0.00001 0.00001
584 0.0003 0.0001 -0.00005 0.00001 -0.00001 0.00001
586 0.0004 0.0001 -0.00005 0.00001 -0.00001 0.00001
588 0.0005 0.0001 -0.00005 0.00001 -0.00001 0.00001
590 0.0006 0.0001 -0.00005 0.00001 -0.00001 0.00001
